X,Y,codigo,municipio,distrito_m,nucleo_urb,nom_calle,numero,ubicacion,estado,anio_insta,tapa_norm,diametro,registro,tipo,modelo,marca,tipo_red1,tapon,propiedad,profundida,icon_url
-5.95694071069506,37.3716253967249,"5883",SEVILLA,SE_CERRO-AMATE,SEVILLA,CL\ AFAN DE RIBERA,"124",En acera,En servicio,"1986",Si,"60",Caja,EMASESA,,ODRIOZOLA,Potable secundaria,No,EMASESA,0.000000,./0.png
-6.00757513926765,37.3886054186878,"19279",SEVILLA,SE_TRIANA,SEVILLA,CL\ CASTILLA,"114",En acera,En servicio,"2001",Si,"60",Caja,EMASESA,CON ROSCA,ODRIOZOLA,Potable secundaria,No,EMASESA,0.000000,./0.png
-5.96156885106694,37.3803555314908,"7013",SEVILLA,SE_NERVION,SEVILLA,CL\ ANTONIO DE NEBRIJA,FRENTE Nº5,En acera,En servicio,"1996",Si,"60",Caja,EMASESA,,ODRIOZOLA,Potable secundaria,No,EMASESA,0.000000,./0.png
-5.95235797637668,37.2873552292667,"32470",DOS HERMANAS,DH_DOS HERMANAS OESTE,DOS HERMANAS,CL\ ORION,"15",En calzada,En servicio,"2022",Desconocido,"45",Caja,EMASESA,,ODRIOZOLA,Agua bruta secundaria,No,Particular (Cliente),0.000000,./0.png
-5.92175650738101,37.2752295439327,"28819",DOS HERMANAS,DH_DOS HERMANAS CENTRO OESTE,DOS HERMANAS,CL\ EXTREMADURA,"21",En acera,En servicio,"2011",Si,"60",Caja,EMASESA,,ODRIOZOLA,Potable secundaria,No,EMASESA,0.000000,./0.png
-5.97932143926171,37.4905496189077,"24229",LA RINCONADA,RI_LA RINCONADA,LA  RINCONADA,CL\ SANTA MARTA,"16",En acera,En servicio,"1994",Si,"60",Caja,EMASESA,CON ROSCA,ODRIOZOLA,Potable secundaria,No,EMASESA,0.000000,./0.png
-5.99248268693923,37.3920543516973,"25343",SEVILLA,SE_CASCO ANTIGUO,SEVILLA,CL\ COMPAÑIA,"3",En acera,En servicio,"2005",Si,"45",Caja,JARDIN,,,Agua bruta secundaria,No,EMASESA,0.100000,./0.png
-5.83584341260395,37.330741150851,"15959",ALCALA DE GUADAIRA,AG_ALCALA DE GUADAIRA,ALCALA DE GUADAIRA,CL\ NARANJO,C/NARANJO DTE Nº 6,En acera,En servicio,"1970",Si,"40",Caja,BLINDADA,,URALITA,Potable secundaria,No,EMASESA,0.000000,./0.png
-5.86101886170933,37.3162340661819,"23739",ALCALA DE GUADAIRA,AG_ALCALA DE GUADAIRA,ALCALA DE GUADAIRA,CL\ CONCEJAL ANGEL JIMENEZ DOMINGUEZ,S/N,En acera,En servicio,"2003",Si,"60",Caja,EMASESA,,ODRIOZOLA,Potable secundaria,No,EMASESA,0.000000,./0.png
-5.91074748167344,37.2900259320139,"29377",DOS HERMANAS,DH_DOS HERMANAS ESTE,DOS HERMANAS,CL\ SIERRA CARBONERA,"20",En acera,En servicio,"2012",Si,"60",Caja,EMASESA,,ODRIOZOLA,Potable secundaria,No,EMASESA,0.000000,./0.png
